Name	City	State	Enrollment	E/D Ratio	Earnings	Low Income Debt	SAT	Admission %
Jamestown Community College	Jamestown	NY	3688	4.19909502262443	23200	5525	NA	NA
Terra State Community College	Fremont	OH	2497	4.19740077274324	23900	5694	NA	NA
Brigham Young University-Hawaii	Laie	HI	2748	4.19391526869491	29500	7034	1097	0.2888
New River Community College	Dublin	VA	3171	4.19201052112445	25500	6083	NA	NA
Camden County College	Blackwood	NJ	12962	4.1905755520779	24100	5751	NA	NA
Western Oklahoma State College	Altus	OK	1583	4.18971007206301	25000	5967	NA	NA
College of Biblical Studies-Houston	Houston	TX	486	4.18828530349441	33500	7998.5	NA	NA
St Cloud Technical and Community College	Saint Cloud	MN	4281	4.17331206804891	31400	7524	NA	NA
Adult and Community Education-Hudson	Columbus	OH	122	4.16842105263158	39600	9500	NA	0.7875
Bellevue College	Bellevue	WA	4782	4.16427157182091	32600	7828.5	NA	NA
Capital Area School of Practical Nursing	Springfield	IL	129	4.16012558869702	37100	8918	NA	NA
CUNY New York City College of Technology	Brooklyn	NY	15230	4.15806546741374	28200	6782	924	0.7718
Clark College	Vancouver	WA	9576	4.15219450584149	26300	6334	NA	NA
Austin Community College District	Austin	TX	36264	4.1468284441714	27000	6511	NA	NA
Cottey College	Nevada	MO	319	4.14545454545455	22800	5500	1001	0.6763
Southside Regional Medical Center Professional Schools	Petersburg	VA	123	4.14166666666667	49700	12000	NA	NA
Community College of Allegheny County	Pittsburgh	PA	19311	4.14125200642055	25800	6230	NA	NA
Greater Johnstown Career and Technology Center	Johnstown	PA	440	4.13640852843781	35600	8606.5	NA	NA
Northwestern University	Evanston	IL	8991	4.12897239619578	53400	12933	1438	0.2313
San Jacinto Community College	Pasadena	TX	25615	4.12075471698113	27300	6625	NA	NA
Mt Hood Community College	Gresham	OR	9275	4.12061888222292	26100	6334	NA	NA
Hobart Institute of Welding Technology	Troy	OH	230	4.11578947368421	39100	9500	NA	NA
