Name	City	State	Enrollment	E/D Ratio	Earnings	Debt	SAT	Admission %
CUNY Borough of Manhattan Community College	New York	NY	23888	3.1875	25500	8000	NA	NA
New River Community College	Dublin	VA	3171	3.1875	25500	8000	NA	NA
Cabarrus College of Health Sciences	Concord	NC	466	3.1864406779661	47000	14750	961	0.6792
Capri Institute of Hair Design-Kenilworth	Kenilworth	NJ	142	3.18571428571429	22300	7000	NA	NA
Sussex County Community College	Newton	NJ	3318	3.17822095599873	25100	7897.5	NA	NA
Ranken Technical College	Saint Louis	MO	2135	3.175	38100	12000	NA	NA
Southern Union State Community College	Wadley	AL	4971	3.17239460136357	22800	7187	NA	NA
The Christ College of Nursing and Health Sciences	Cincinnati	OH	345	3.16471314003701	51300	16210	925	0.6429
Piedmont Virginia Community College	Charlottesville	VA	3900	3.16049382716049	25600	8100	NA	NA
Spa Tech Institute-Westbrook	Westbrook	ME	116	3.15806095057635	20000	6333	NA	NA
Spa Tech Institute-Westboro	Westboro	MA	126	3.15806095057635	20000	6333	NA	NA
Spa Tech Institute-Plymouth	Plymouth	MA	143	3.15806095057635	20000	6333	NA	NA
Blinn College	Brenham	TX	16356	3.15555555555556	28400	9000	NA	NA
Wilkes Community College	Wilkesboro	NC	2179	3.15151515151515	20800	6600	NA	NA
Dean Institute of Technology	Pittsburgh	PA	149	3.14736842105263	29900	9500	NA	NA
Sanford-Brown Institute-Garden City	Garden City	NY	1279	3.14736842105263	29900	9500	NA	NA
Sanford-Brown College-Dallas	Dallas	TX	1009	3.14736842105263	29900	9500	NA	NA
Sanford-Brown College-San Antonio	San Antonio	TX	426	3.14736842105263	29900	9500	NA	NA
St Charles Community College	Cottleville	MO	7445	3.14592933947773	25600	8137.5	NA	NA
CUNY York College	Jamaica	NY	7422	3.14498933901919	29500	9380	903	0.3983
Galveston College	Galveston	TX	2007	3.13966077228437	26100	8313	NA	NA
Mid-State Technical College	Wisconsin Rapids	WI	2860	3.13766966331747	26700	8509.5	NA	NA
Denmark Technical College	Denmark	SC	1571	3.13425468904245	12700	4052	NA	NA
Coffeyville Community College	Coffeyville	KS	1374	3.13416815742397	21900	6987.5	NA	NA
Foothill College	Los Altos Hills	CA	14291	3.13333333333333	32900	10500	NA	NA
Brevard Community College	Cocoa	FL	13973	3.13055365686945	22900	7315	NA	NA
Richland Community College	Decatur	IL	2891	3.12857142857143	21900	7000	NA	NA
Career Training Solutions	Fredericksburg	VA	170	3.12824656585478	27100	8663	NA	NA
Central Community College	Grand Island	NE	4822	3.12617231461798	25000	7997	NA	NA
Baltimore School of Massage	Linthicum	MD	714	3.12075983717775	25300	8107	NA	NA
The Academy of Health Care Professions-Northwest	Houston	TX	418	3.12	23400	7500	NA	NA
The Academy of Health Care Professions-Southwest	Houston	TX	205	3.12	23400	7500	NA	NA
The Academy of Health Care Professions-San Antonio	San Antonio	TX	296	3.12	23400	7500	NA	NA
National Massage Therapy Institute	Philadelphia	PA	718	3.11986863711002	24700	7917	NA	NA
Pittsburgh Institute of Aeronautics	West Mifflin	PA	297	3.11361605608633	45300	14549	NA	NA
Ogeechee Technical College	Statesboro	GA	2082	3.10769230769231	20200	6500	NA	NA
Northwestern University	Evanston	IL	8991	3.10329798053174	53400	17207.5	1438	0.2313
Southwest School of Business and Technical Careers-San Antonio	San Antonio	TX	367	3.10202617894926	17300	5577	NA	NA
North American Trade Schools	Baltimore	MD	519	3.09985096870343	26000	8387.5	NA	NA
Carl Albert State College	Poteau	OK	2394	3.0962962962963	20900	6750	NA	NA
Northern Virginia Community College	Annandale	VA	42808	3.0952380952381	32500	10500	NA	NA
Hannah E Mullins School of Practical Nursing	Salem	OH	125	3.09473684210526	29400	9500	NA	0.9167
Santa Monica College	Santa Monica	CA	27533	3.09459459459459	22900	7400	NA	NA
Mid-Plains Community College	North Platte	NE	1476	3.09414088215932	23500	7595	NA	NA
Blessing Rieman College of Nursing	Quincy	IL	266	3.09333333333333	46400	15000	NA	NA
Cowley County Community College	Arkansas City	KS	3550	3.0875	24700	8000	NA	NA
Carnegie Mellon University	Pittsburgh	PA	5848	3.08433734939759	64000	20750	1402	0.3044
Maine Maritime Academy	Castine	ME	927	3.084	77100	25000	1002	0.6412
Cape Cod Community College	West Barnstable	MA	3680	3.07939648775662	24900	8086	NA	NA
Healthcare Training Institute	Union	NJ	106	3.07191904589808	25500	8301	NA	0.814
New York School for Medical and Dental Assistants	Long Island City	NY	286	3.07097361237489	27000	8792	NA	NA
Harvey Mudd College	Claremont	CA	778	3.0656999641962	68500	22344	1497	0.2099
Cloud County Community College	Concordia	KS	1233	3.06337591467196	24700	8063	NA	NA
Rend Lake College	Ina	IL	2562	3.06178996952064	22100	7218	NA	NA
Seacoast Career Schools-Sanford Campus	Sanford	ME	354	3.05719282336939	23600	7719.5	NA	NA
Seacoast Career School-Manchester Campus	Manchester	NH	469	3.05719282336939	23600	7719.5	NA	NA
West Hills College Coalinga	Coalinga	CA	2524	3.05714285714286	21400	7000	NA	NA
Copiah-Lincoln Community College	Wesson	MS	3506	3.05714285714286	21400	7000	NA	NA
Career Networks Institute	Orange	CA	194	3.05454545454545	29400	9625	NA	NA
Meridian Community College	Meridian	MS	4019	3.05309734513274	20700	6780	NA	NA
Citizens School of Nursing	New Kensington	PA	180	3.05	48800	16000	NA	NA
Allen County Community College	Iola	KS	2784	3.04587155963303	24900	8175	NA	NA
Academy of Health Care Professions	Austin	TX	205	3.04408235442718	24100	7917	NA	NA
Arkansas Northeastern College	Blytheville	AR	1574	3.04285714285714	21300	7000	NA	NA
Hohokus School-RETS Nutley	Nutley	NJ	646	3.0406599882145	25800	8485	NA	NA
Paris Junior College	Paris	TX	5936	3.03793716656787	20500	6748	NA	NA
Irvine Valley College	Irvine	CA	11515	3.0375	24300	8000	NA	NA
Northcentral Technical College	Wausau	WI	3650	3.03589743589744	29600	9750	NA	NA
Linn State Technical College	Linn	MO	1120	3.03478260869565	34900	11500	NA	NA
CUNY Hostos Community College	Bronx	NY	6480	3.02666666666667	22700	7500	NA	NA
John Wood Community College	Quincy	IL	2014	3.0261167028485	23000	7600.5	NA	NA
Concorde Career College-Aurora	Aurora	CO	795	3.02105263157895	28700	9500	NA	1
Concorde Career Institute-Dallas	Dallas	TX	226	3.02105263157895	28700	9500	NA	1
Howard Community College	Columbia	MD	9163	3.02040816326531	29600	9800	NA	NA
