School.Name	State	Admin2011	Tuition2011	AdminperDollar
Lower Columbia College	Washington	53	3950.1953106823	0.0134170581025892
Jefferson College	Missouri	45	3355.69816638979	0.0134100261014873
Montana Tech of the University of Montana	Montana	89	6649.25377414273	0.0133849606321387
Ulster County Community College	New York	64	4793.26268952221	0.0133520743897263
Potomac State College of West Virginia University	West Virginia	42	3167.19907185802	0.0132609283619678
Hampton University	Virginia	258	19469.2636209245	0.0132516568178119
Lamar State College-Port Arthur	Texas	68	5131.93963409303	0.0132503507150114
West Virginia Northern Community College	West Virginia	34	2566.48767170182	0.0132476771172077
Great Basin College	Nevada	34	2602.73749757332	0.0130631690793636
Sullivan County Community College	New York	64	4911.33355093222	0.013031083988961
Quinebaug Valley Community College	Connecticut	47	3614.62549404332	0.0130027301797802
Massachusetts Maritime Academy	Massachusetts	92	7112.21583598725	0.0129354904465198
Benedict College	South Carolina	230	17803.8430494569	0.0129185591763019
Mountain Empire Community College	Virginia	39	3028.41402423572	0.0128780278019754
Halifax Community College	North Carolina	30	2330.3459488818	0.0128736250574278
Middlesex Community College	Connecticut	55	4277.47945283637	0.0128580395549369
Saint Joseph's College-New York	New York	245	19082.9440480654	0.0128386898469598
West Virginia University Institute of Technology	West Virginia	71	5534.83055592193	0.0128278543096562
Lakeshore Technical College	Wisconsin	47	3667.44666888464	0.0128154556135083
Concord University	West Virginia	72	5640.47290560457	0.0127648871300239
John C Calhoun State Community College	Alabama	46	3604.26840093718	0.0127626455310706
Grays Harbor College	Washington	46	3608.41123817964	0.0127479926659374
Latter-day Saints Business College	Utah	39	3086.41374563012	0.0126360245949585
Inter American University of Puerto Rico-Bayamon	Puerto Rico	60	4760.11999158255	0.0126047242729384
Santa Clara University	California	509	40442.3771608607	0.0125858081481076
Berklee College of Music	Massachusetts	452	35918.3988920981	0.0125840798571742
Abilene Christian University	Texas	329	26172.3742792191	0.0125705064618928
Lake Superior College	Minnesota	63	5045.97576131205	0.0124851967151778
Glenville State College	West Virginia	69	5543.11623040684	0.0124478717623671
Bluefield State College	West Virginia	63	5083.26129649416	0.0123936182551643
Central Carolina Technical College	South Carolina	52	4196.69412660847	0.0123907052625785
North Florida Community College	Florida	36	2906.20032558326	0.0123873085014451
Atlantic Cape Community College	New Jersey	83	6705.1820769159	0.0123784856321421
Zane State College	Ohio	55	4443.19294253463	0.0123784856321421
Suffolk University	Massachusetts	382	30961.4941314989	0.0123379058638959
Southwestern Community College	Iowa	54	4381.05038389778	0.0123258112251968
Southern New Hampshire University	New Hampshire	345	28206.5073652653	0.0122312201057848
City Colleges of Chicago-Olive-Harvey College	Illinois	71	5807.22210461344	0.0122261554183704
Delaware Technical Community College-Terry	Delaware	39	3196.19893255521	0.0122019939380999
Dakota State University	South Dakota	87	7143.28711530567	0.0121792668551133
Monmouth University	New Jersey	350	28999.8606971957	0.0120690234913385
Aiken Technical College	South Carolina	51	4227.76540592689	0.0120631102020238
Montana State University-Northern	Montana	68	5675.68702216545	0.011980928429358
Gonzaga University	Washington	399	33372.6254066086	0.0119559068289841
South Central College	Minnesota	64	5353.58142656445	0.011954614098598
Purdue University-North Central Campus	Indiana	85	7117.39438254032	0.0119425727213478
Terra State Community College	Ohio	50	4189.44416143417	0.0119347574698032
Roosevelt University	Illinois	309	25892.7327653533	0.0119338504282355
University of South Carolina-Aiken	South Carolina	108	9062.45646787366	0.0119172986245903
Lehigh Carbon Community College	Pennsylvania	77	6462.82609823219	0.0119142924209368
City Colleges of Chicago-Malcolm X College	Illinois	69	5807.22210461344	0.011881756674191
Baker College of Flint	Michigan	93	7829.96238824284	0.0118774516898887
Piedmont Virginia Community College	Virginia	45	3795.8746234008	0.011854975325735
Hudson County Community College	New Jersey	93	7864.14079549311	0.01182583099902
H Councill Trenholm State Technical College	Alabama	39	3305.98411948031	0.0117967898787519
University of the Incarnate Word	Texas	278	23603.8151888961	0.0117777570183137
University of Maine at Farmington	Maine	114	9701.48911252258	0.0117507733789909
Oregon Institute of Technology	Oregon	96	8170.71075143489	0.0117492838653162
University of Cincinnati-Blue Ash College	Ohio	69	5894.22168670503	0.0117063801919151
Northwestern Oklahoma State University	Oklahoma	60	5145.40385513101	0.0116608922621628
Shawnee Community College	Illinois	50	4287.83654594251	0.0116608922621628
Edison State Community College	Ohio	46	3955.37385723537	0.0116297476952411
Xavier University	Ohio	375	32272.7021187364	0.0116197273665005
Southwestern Michigan College	Michigan	62	5338.04578690524	0.0116147373917422
County College of Morris	New Jersey	90	7776.10550409091	0.0115739170401755
Lake Superior State University	Michigan	111	9698.38198459074	0.0114452080951608
Colegio Universitario de San Juan	Puerto Rico	28	2454.63106615549	0.0114070095445562
