School.Name	State	Admin1987	Admin2011	Student1987	Student2011	AdminFC	StudentFC	AdmintoStudentFCRatio
Northeast Texas Community College	Texas	18	92	928	2208	5.11111111111111	2.37931034482759	2.14814814814815
Lakeland Community College	Ohio	29	96	4177	6438	3.31034482758621	1.54129758199665	2.14776488736061
Winthrop University	South Carolina	108	308	4154	5517	2.85185185185185	1.32811747713048	2.14728885129465
University of South Carolina-Lancaster	South Carolina	8	32	665	1240	4	1.86466165413534	2.14516129032258
Austin Community College District	Texas	84	446	10656	26392	5.30952380952381	2.47672672672673	2.14376650933183
University of Montevallo	Alabama	48	134	2158	2811	2.79166666666667	1.30259499536608	2.14315783232539
Daytona State College	Florida	72	295	6649	12714	4.09722222222222	1.91216724319447	2.14271122821736
Lafayette College	Pennsylvania	100	255	2154	2566	2.55	1.19127205199629	2.14056897895557
Reading Area Community College	Pennsylvania	8	73	774	3310	9.125	4.2764857881137	2.13376132930514
Columbia University in the City of New York	New York	2166	7714	15318	25614	3.56140350877193	1.67215041128085	2.12983442443072
Brazosport College	Texas	21	67	1809	2713	3.19047619047619	1.49972360420122	2.12737612553315
North Central University	Minnesota	18	43	1020	1146	2.38888888888889	1.12352941176471	2.12623618382781
North Carolina State University at Raleigh	North Carolina	948	3323	18752	30920	3.50527426160338	1.64889078498294	2.12583774106037
Brookdale Community College	New Jersey	63	253	5944	11233	4.01587301587302	1.88980484522207	2.12501995961446
Missouri State University-Springfield	Missouri	221	606	12914	16685	2.7420814479638	1.29200867275825	2.12233981534339
Dickinson College	Pennsylvania	95	253	2008	2522	2.66315789473684	1.25597609561753	2.12038899787136
The University of Texas at Tyler	Texas	31	198	1795	5412	6.38709677419355	3.01504178272981	2.11841070023603
Washington College	Maryland	36	146	858	1643	4.05555555555556	1.91491841491841	2.11787380807466
Plymouth State University	New Hampshire	52	169	3261	5012	3.25	1.53695185525912	2.11457501995211
University of New Orleans	Louisiana	310	512	11302	8832	1.65161290322581	0.781454609803575	2.11351098644226
Berry College	Georgia	98	233	1586	1787	2.37755102040816	1.12673392181589	2.11012642326097
Northwestern University	Illinois	1106	3209	13752	18926	2.90144665461121	1.37623618382781	2.10824761672902
Tallahassee Community College	Florida	62	349	4571	12206	5.62903225806452	2.67031284182892	2.10800478876068
Richland Community College	Illinois	24	74	1776	2603	3.08333333333333	1.46565315315315	2.10372646945832
California University of Pennsylvania	Pennsylvania	68	265	4837	8965	3.89705882352941	1.85342154227827	2.10262950690594
Worcester State University	Massachusetts	61	153	4453	5316	2.50819672131148	1.19380193128228	2.1010158013544
Laramie County Community College	Wyoming	26	111	2103	4288	4.26923076923077	2.03899191631003	2.093794847876
Citadel Military College of South Carolina	South Carolina	79	265	2211	3547	3.35443037974684	1.60425146992311	2.09096294604462
Northwest College	Wyoming	15	50	1269	2023	3.33333333333333	1.59416863672183	2.09095402867029
Western Nevada College	Nevada	21	60	1807	2470	2.85714285714286	1.36690647482014	2.09022556390977
Florida Southern College	Florida	52	132	2032	2468	2.53846153846154	1.21456692913386	2.09001371400075
Coker College	South Carolina	21	79	508	915	3.76190476190476	1.8011811023622	2.08857663283893
St. Thomas Aquinas College	New York	29	57	1570	1480	1.96551724137931	0.942675159235669	2.08504193849021
Valley Forge Christian College	Pennsylvania	10	39	502	939	3.9	1.87051792828685	2.08498402555911
Pennsylvania State University-Penn State York	Pennsylvania	16	35	1073	1126	2.1875	1.04939422180802	2.08453596802842
Portland State University	Oregon	164	774	9754	22089	4.71951219512195	2.26460939101907	2.08402924311737
Utica College	New York	58	208	1859	3199	3.58620689655172	1.72081764389457	2.08401332312899
Brown University	Rhode Island	605	1470	7184	8390	2.4297520661157	1.16787305122494	2.08049330667166
Beloit College	Wisconsin	54	131	1054	1231	2.42592592592593	1.16793168880455	2.07711285615429
California Institute of Technology	California	499	1281	1822	2254	2.56713426853707	1.2371020856202	2.07511918246431
University of Saint Francis-Fort Wayne	Indiana	16	136	507	2077	8.5	4.09664694280079	2.07486759749639
Boston College	Massachusetts	485	1228	11324	13888	2.5319587628866	1.22642175909573	2.06450900280298
Saint Norbert College	Wisconsin	69	187	1746	2296	2.71014492753623	1.31500572737686	2.06093773670656
